DM201C, MGSP-LEADERS (CHEMISTRY)
HE355, TOPICS IN MULTI-ETHNIC LITERATURE
HE360, SPECIAL TOPICS IN LITERATURE
HE360A, SPECIAL TOPICS IN LITERATURE
HE360B, SPECIAL TOPICS IN LITERATURE
HE388, PROFESSIONAL COMM & WRITING LAB
HE442, LITERARY THEORY
HE461, STUDIES IN A LITERARY PERIOD
HE462, STUDIES IN A LITERARY PROBLEM
HE463, STUDIES IN LITERARY FIGURES
HE463A, STUDIES IN LITERARY FIGURES
HE463B, STUDIES IN LITERARY FIGURES
HE467, STUDIES IN A LITERARY GENRE
HE485, ADVANCED TOPICS IN ENGLISH
HE485A, ADVANCED TOPICS IN ENGLISH
HE486, ADVANCED TOPICS IN ENGLISH
HE491, IND RSCH/ENGLISH
HE492, INDEPEND RESEARCH/ENGLISH
HE493, IND RSCH/ENGLISH
HE494, INDEPEND RESEARCH/ENGLISH
HE495, IND RSCH/ENGLISH
HE495A, INDEPENDENT RESEARCH ENGLISH
HE495B, INDEPENDENT RESEARCH ENGLISH
HE496, INDEPEND RESEARCH/ENGLISH
HE503, SEMINAR IN ARTS & LITERATURE
HE504, SEMINAR IN AN ADVANCED TOPIC
HE506, SEMINAR IN ARTS & LITERATURE
HE507, SEMINAR IN AN ADVANCED TOPIC
HE521, HONORS SUPPLEMENT I
HE522, HONORS SUPPLEMENT II
HH104, AMERICAN NAVAL HISTORY
HH104N, AMERICAN NAVAL HERITAGE
HH104X, AMERICAN NAVAL HISTORY
HH205, WESTERN CIVILIZATION:  CULTURE TO 1776
HH205P, WESTERN CIVILIZATION TO 1776
HH206, CIVILIZATION AND THE ATLANTIC COMMUNITY SINCE 1776
HH215, THE WEST IN THE PREMODERN WORLD
HH215A, ASIA IN THE PREMODERN WORLD
HH215M, THE MIDDLE EAST IN THE PREMODERN WORLD
HH215P, THE WEST IN THE PREMODERN WORLD
HH216, THE WEST IN THE MODERN WORLD
HH220, IT REVOLUTIONS: PAST & PRESENT
HH262, PERSPECTIVES ON HISTORY
HH262A, PERSPECTIVES ON HISTORY
HH262B, PERSPECTIVES ON HISTORY
HH262C, PERSPECTIVES ON HISTORY
HH262D, PERSPECTIVES ON HISTORY
HH262E, PERSPECTIVES ON HISTORY
HH262F, PERSPECTIVES ON HISTORY
HH281, TOPICS IN HISTORY
HH285, TOPICS IN HISTORY
HH311, ATHENS: MILITARY DEMOCRACY
HH312, IMPERIAL ROME
HH315, THE AGE OF CHIVALRY AND FAITH
HH316, AGE OF RELIGIOUS WARS
HH317, "INDUSTRIALIZATION,  MODERNISM AND MASS SOCIETY"
HH318, WAR AND SOCIETY IN MODERN EUROPE
HH321, REVOLUTIONARY RUSSIA--PETER THE GREAT TO LENIN
HH322, THE RISE AND FALL OF SOVIET COMMUNISM
HH326, IRELAND AND THE IRISH
HH327, GERMANY AND THE NAZI EXPERIENCE
HH329, MODERN FRANCE:  NAPOLEON TO DEGAULLE
HH330, IMPERIAL ENCOUNTERS
HH331, ART AND IDEAS IN MODERN EUROPE
HH332, GREAT POWER DIPLOMACY
HH337, TOPICS IN EUROPEAN HISTORY
HH337A, TOPICS IN EUROPEAN HISTORY
HH337B, TOPICS IN EUROPEAN HISTORY
HH337C, TOPICS IN EUROPEAN HISTORY
HH345, COLONIAL AMERICA
HH346, REVOLUTIONARY AMERICA AND THE EARLY REPUBLIC
HH347, CIVIL WAR AND RECONSTRUCTION
HH349, EMERGENCE OF MODERN AMERICA 1896-1945
HH350, UNITED STATES SINCE WORLD WAR II
HH352, FILM AND AMERICAN SOCIETY
HH353, AMERICAN SOCIAL HISTORY
HH354, AMERICA IN WORLD AFFAIRS
HH355, ART AND IDEAS IN AMERICAN SOCIETY
HH357, TOPICS IN U.S. HISTORY
HH357A, TOPICS IN U.S. HISTORY
HH357B, TOPICS IN U.S. HISTORY
HH357C, TOPICS IN U.S. HISTORY
HH359, U.S. SECT HIST: THE WEST
HH360, U.S. SECTIONAL HISTORY:  THE SOUTH
HH361, HISTORY OF EAST ASIA
HH362, HISTORY OF THE MIDDLE EAST
HH363, MODERN LATIN AMERICA
HH364, HISTORY OF AFRICA
HH365, PRE-COLUMBIAN AND IBERIAN EMPIRES
HH366, COMPARATIVE WORLD CULTURES
HH367, TOPICS IN REGIONAL HISTORY
HH367A, TOPICS IN REGIONAL HISTORY
HH367B, TOPICS IN REGIONAL HISTORY
HH367C, TOPICS IN REGIONAL HISTORY
HH367D, TOPICS IN REGIONAL HISTORY
HH367E, TOPICS IN REGIONAL HISTORY
HH367F, TOPICS IN REGIONAL HISTORY
HH367S, TOPICS IN REGIONAL HISTORY
HH367T, TOPICS IN REGIONAL HISTORY
HH367U, TOPICS IN REGIONAL HISTORY
HH371, HISTORY OF FILM 1895-1968
HH372, THE GOLDEN AGE OF PIRACY
HH373, HISTORY OF CHRISTIANITY
HH376, HISTORY OF ENGINEERING
HH377, TOPICS IN THEMATIC HISTORY
HH377A, TOPICS IN THEMATIC HISTORY
HH377B, TOPICS IN THEMATIC HISTORY
HH377C, TOPICS IN THEMATIC HISTORY
HH377D, TOPICS IN THEMATIC HISTORY
HH377E, TOPICS IN THEMATIC HISTORY
HH378, HISTORY OF TECHNOLOGY IN PEACE AND WAR
HH379, HISTORY OF IT REVOLUTIONS
HH380, HISTORY OF SCIENCE
HH381, "WARFARE IN THE MIDDLE AGES,  500-1500"
HH382, "WARFARE IN THE AGE OF SAIL,  1500-1815"
HH383, "THE AGE OF TOTAL WAR,  1815-1945"
HH384, RECENT MILITARY AND NAVAL HISTORY
HH385, THE U.S. MARINE CORPS
HH386, TOPICS IN NAVAL/MILITARY HISTORY
HH386A, TOPICS IN NAVAL/MILITARY HISTORY
HH386B, TOPICS IN NAVAL/MILITARY HISTORY
HH386C, TOPICS IN NAVAL/MILITARY HISTORY
HH386D, TOPICS IN NAVAL/MILITARY HISTORY
HH386E, TOPICS IN NAVAL/MILITARY HISTORY
HH386F, TOPICS IN NAVAL/MILITARY HISTORY
HH386G, TOPICS IN NAVAL/MILITARY HISTORY
HH386H, TOPICS IN NAVAL/MILITARY HISTORY
HH386I, TOPICS IN NAVAL/MILITARY HISTORY
HH462, SEMINAR IN ADVANCED STUDIES
HH462A, SEMINAR IN ADVANCED STUDIES
HH462B, SEMINAR IN ADVANCED STUDIES
HH462C, SEMINAR IN ADVANCED STUDIES
HH462D, SEMINAR IN ADVANCED STUDIES
HH462E, SEMINAR IN ADVANCED STUDIES
HH480, IT RESEARCH SEMINAR (HH)
HH481, ADVANCED TOPICS IN HISTORY
HH481A, ADVANCED TOPICS IN HISTORY
HH481B, ADVANCED TOPICS IN HISTORY
HH482, ADVANCED TOPICS IN HISTORY
HH482A, ADVANCED TOPICS IN HISTORY
HH482B, ADVANCED TOPICS IN HISTORY
HH482C, ADVANCED TOPICS IN HISTORY
HH483, ADVANCED TOPICS IN HISTORY
HH484, ADVANCED TOPICS IN HISTORY
HH485, ADVANCED TOPICS IN HISTORY
HH485A, ADVANCED TOPICS IN HISTORY
HH485B, ADVANCED TOPICS IN HISTORY
HH485C, ADVANCED TOPICS IN HISTORY
HH485D, ADVANCED TOPICS IN HISTORY
HH485E, ADVANCED TOPICS IN HISTORY
HH485F, INDEPENDENT STUDY
HH485G, INDEPENDENT STUDY
HH485H, INDEPENDENT STUDY
HH485I, INDEPENDENT STUDY
HH485J, INDEPENDENT STUDY
HH485K, INDEPENDENT STUDY
HH485L, INDEPENDENT STUDY
HH485S, ADVANCED TOPICS IN HISTORY
HH485T, ADVANCED TOPICS IN HISTORY
HH486, ADVANCED TOPICS IN HISTORY
HH486A, ADVANCED TOPICS IN HISTORY
HH486B, ADVANCED TOPICS IN HISTORY
HH486C, ADVANCED TOPICS IN HISTORY
HH486D, ADVANCED TOPICS IN HISTORY
HH486E, ADVANCED TOPICS IN HISTORY
HH486F, ADVANCED TOPICS IN HISTORY
HH486G, ADVANCED TOPICS IN HISTORY
HH486H, ADVANCED TOPICS IN HISTORY
HH486I, ADVANCED TOPICS IN HISTORY
HH486J, ADVANCED TOPICS IN HISTORY
HH486K, ADVANCED TOPICS IN HISTORY
HH486L, ADVANCED TOPICS IN HISTORY
HH486M, ADVANCED TOPICS IN HISTORY
HH486N, ADVANCED TOPICS IN HISTORY
HH486R, ADVANCED TOPICS IN HISTORY
HH488A, ADVANCED TOPICS IN HISTORY
HH491, TOPICS IN HISTORY
HH492, TOPICS IN HISTORY
HH493, ADVANCED TOPICS IN HISTORY
HH494, TOPICS IN HISTORY
HH495, ADVANCED TOPICS IN HISTORY
HH496, TOPICS IN HISTORY
HH496A, INDEPENDENT RESEARCH IN HISTORY
HH507, HONORS HISTORIOGRAPHY
HH507A, HONORS HISTORIOGRAPHY
HH507B, HONORS HISTORIOGRAPHY
HH508, HONORS COLLOQUIUM
HH508A, HONORS COLLOQUIUM
HH508B, HONORS COLLOQUIUM
HH509, HONOR SENIOR THESIS
HH512, HONORS THESIS READINGS
HH522, VISITING SCHOLAR SEM.
HP230, INTRO PHILOSOPHY & LOGIC
HP232, ETHICS
HP336, PHILOSOPHY OF RELIGION
HP340, PHILOSOPHY OF SCIENCE
HP485, CRITIQUE OF MODERNITY
HP486, COMPARATIVE RELIGION
HP492, INDEPENDENT STUDY
HP495, TOPICS IN PHILOSOPHY
HP496, RESEARCH PROJECT
IC210, INTRO TO COMPUTING
IC210L, INTRO TO COMPUTING SUPPLEMENT
IC211, OBJECT ORIENTED PROGRAMMING
IC220, COMPUTER ARCHITECTURE & ORG
IC221, SYSTEMS PROGRAMMING
IC312, DATA STRUCTURES
IC322, COMPUTER NETWORKS
IC411, OPERATING SYSTEMS
IC470, SOFTWARE ENGINEERING
IC480, RESEARCH SEMINAR/CAPSTONE
IM210, INFO TECHNOLOGY MGT
IM330, DECISION SUPPORT SYSTEMS
IM360, INFO RESOURCES MGT
IM450, ENTERPRISE COMPUTING
IM480, IT RESEARCH SEMINAR (IM)
IT100A, INTRODUCTION TO COMPUTERS
IT100B, INTRODUCTION TO COMPUTERS
IT221, DATA STRUCTURES
IT285, CYBER WARFARE
IT300, COMPUTER ARCH AND ORG
IT310, INFORMATION SYSTEMS DOD
IT320, SYSTEMS ANALYSIS AND DESIGN
IT340, INTRO TO NETWORKS
IT350, WEB & INTERNET PROGRAMMING
IT360, APPLIED DATABASE SYSTEMS
IT420, DATABASE MGT & ORG
IT430, COMPUTER AND NETWORK SECURITY
IT432, ADVANCED COMPUTER AND NETWORK SECURITY
IT440, SYSTEMS ANALYSIS AND DESIGN
IT452, ADV WEB & INTERNET SYSTEMS
IT460, HUMAN COMPUTER INTERACTION
IT462, ADV DATABASE SYSTEMS
IT472, MOBILE OS DEVELOPMENT
IT484, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT485, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT485A, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT485D, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT485E, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486A, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486B, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486C, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486D, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486E, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486G, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT486U, ADVANCED TOPICS IN INFORMATION TECHNOLOGY
IT495, INFO TECH RESEARCH PROJECT
IT495A, RESEARCH COURSE
IT495B, RESEARCH COURSE
IT592, TRIDENT SCHOLAR PROJECT
NE203, ETHICS AND MORAL REASONING FOR THE NAVAL LEADER
NE203A, ETHICS AND MORAL REASONING FOR THE NAVAL LEADER
NE203B, ETHICS AND MORAL REASONING FOR THE NAVAL LEADER
NE203C, ETHICS AND MORAL REASONING FOR THE NAVAL LEADER
NE203D, ETHICS AND MORAL REASONING FOR THE NAVAL LEADER
NE481, INDEPENDENT STUDY IN METAPHYSICS
NL102, FOUNDATIONS OF NAVAL CORE VALUES AND FUNDAMENTALS
NL110, PREPARING TO LEAD
NL112, LEADERSHIP AND HUMAN BEHAVIOR
NL112N, LEADERSHIP AND HUMAN BEHAVIOR
NL200, HUMAN BEHAVIOR
NL202, LEADERSHIP II
NL211, SOCIAL PSYCHOLOGY
NL212, PRINCIPLES OF SOCIOLOGICAL SOCIAL PSYCHOLOGY
NL230, INTRODUCTION TO SOCIOLOGY
NL285, TOPICS IN PSYCHOLOGY
NL285A, TOPICS IN PSYCHOLOGY
NL285B, TOPICS IN PSYCHOLOGY
NL286, TOPICS IN LEADERSHIP
NL286A, TOPICS IN PSYCHOLOGY
NL302, LEADERSHIP: THEORY AND APPL
NL303, LEADERSHIP: THEORY AND APPL
NL306, PERSONALITY
NL310, LEADERSHIP: THEORY AND APPLICATIONS
NL311, PSYCHOLOGY OF LEADERSHIP
NL312, ABNORMAL PSYCHOLOGY
NL313, THE PSYCHOLOGY OF CRIME
NL330, SOCIOLOGY OF MARRIAGE & FAMILIES
NL335, ARMED FORCES AND SOCIETY
NL340, CHANGE MANAGEMENT
NL360, CULTURE AND LEADERSHIP
NL400, LAW FOR THE JUNIOR OFFICER
NL401, JUNIOR OFFICER PRACTICUM (SURFACE)
NL402, JUNIOR OFFICER PRACTICUM (SUBMARINE)
NL403, JUNIOR OFFICER PRACTICUM (AVIATION)
NL404, JUNIOR OFFICER PRACTICUM (MARINE CORPS)
NL405, JUNIOR OFFICER PRACTICUM (SPECIAL WARFARE)
NL406, JUNIOR OFFICER PRACTICUM (STAFF CORPS)
NL420, COMMUNICATING AS A LEADER
NL425, ENGINEERING LEADERSHIP
NL430, LEADERSHIP IN GROUPS AND ORGANIZATIONS
NL435, MILITARY SOCIOLOGY
NL440, EXPERIENTIAL LEADERSHIP
NL445, GENDER MATTERS: THE SOCIOLOGY OF GENDER
NL450, SOCIAL INEQUALITY
NL484, ADVANCED TOPICS IN LEADERSHIP
NL485, ADVANCED TOPICS IN LEADERSHIP
NL485A, ADVANCED TOPICS IN LEADERSHIP
NL485B, ADVANCED TOPICS IN LEADERSHIP
NL485C, ADVANCED TOPICS IN LEADERSHIP
NL485D, ADVANCED TOPICS IN LEADERSHIP
NL485E, ADVANCED TOPICS IN LEADERSHIP
NL486, ADVANCED TOPICS IN LEADERSHIP
NL486A, ADVANCED TOPICS IN LEADERSHIP
NL486B, ADVANCED TOPICS IN LEADERSHIP
NL486C, ADVANCED TOPICS IN LEADERSHIP
NL486D, ADVANCED TOPICS IN LEADERSHIP
NL486E, ADVANCED TOPICS IN LEADERSHIP
NL486F, ADVANCED TOPICS IN LAW
NL486N, ADVANCED TOPICS IN LEADERSHIP
NL487, ADVANCED TOPICS IN LEADERSHIP
NL491, RESEARCH IN LEL
NL491A, RESEARCH IN LEL
NL495, RESEARCH IN PSYCHOLOGY
NL495A, INDEPENDENT STUDY IN LEL
NL495B, INDEPENDENT STUDY IN LEL
NL496, INDEPENDENT RESEARCH
NL496A, INDEPENDENT STUDY IN LEL
NL496B, INDEPENDENT STUDY IN LEL
NL496C, ADV TOPICS IN LEL
NL496N, INDEPENDENT RESEARCH IN LEL
NL496O, INDEPENDENT RESEARCH IN LEL
NN101, INTRODUCTION TO NAVIGATION
NN200, NAVIGATION AND PILOTING
NN204, NAVIGATION AND PILOTING
NN210, BASIC NAVIGATION
NN310, ADVANCED NAVIGATION
NN310L, ADVANCED NAVIGATION (LAB)
NP230, INTRODUCTION TO PHILOSOPHY
NP232, MILITARY ETHICS: THE CODE OF THE WARRIOR
NP240, PHILOSOPHY AT THE MOVIES
NP250, LOGIC AND CRITICAL THINKING
NP285, TOPICS IN PHILOSOPHY
NP286, TOPICS IN PHILOSOPHY
NP336, PHILOSOPHY OF RELIGION
NP340, PHILOSOPHY OF SCIENCE
NP410, PHILOSOPHY OF WAR
NP430, ETHICS AND IRREGULAR WARFARE
NP482, ADV TOPICS IN PHILOSOPHY
NP484, ADV TOPICS IN PHILOSOPHY
NP485, ADV TOPICS IN PHILOSOPHY
NP485A, ADV TOPICS IN PHILOSOPHY
NP485B, ADV TOPICS IN PHILOSOPHY
NP485C, ADV TOPICS IN PHILOSOPHY
NP485D, ADV TOPICS IN PHILOSOPHY
NP486, ADV TOPICS IN PHILOSOPHY
NP486A, ADV TOPICS IN PHILOSOPHY
NP486B, ADV TOPICS IN PHILOSOPHY
NP486C, ADV TOPICS IN PHILOSOPHY
NP492, PHILOSOPHY OF QUANTUM PH
NP494A, IND STUDY IN PHILOSOPHY
NP496, ETHICS & LEADERSHIP: FOUNDATIONS OF MILITARY PROF
NP496A, IND RESEARCH IN PHILOSOPHY
NS100, FUNDAMENTALS OF NAVAL SCIENCE
NS100N, FUNDAMENTALS OF NAVAL SCIENCE
NS101, FUNDAMENTALS OF SEAMANSHIP
NS300, NAVAL WARFARE
NS300A, NAVAL WARFARE
NS300B, NAVAL WARFARE
NS310, STRATEGY AND TACTICS
NS311, NETWORK-CENTRIC WARFARE
NS401, JUNIOR OFFICER PRACTICUM (SURFACE)
NS402, JUNIOR OFFICER PRACTICUM (SUBMARINE)
NS403, JUNIOR OFFICER PRACTICUM (AVIATION)
NS404, JUNIOR OFFICER PRACTICUM (MARINE CORPS)
NS405, JUNIOR OFFICER PRACTICUM (SPEC WAR)
NS405A, JO PRACTICUM (SUPPLY)
NS405B, JO PRACTICUM (SPEC WAR)
NS405C, JO PRACTICUM (MEDICAL)
NS405D, JO PRACTICUM (ARMY)
NS405E, JO PRACTICUM (CEC)
NS405G, JO PRACTICUM (AIR FORCE)
NS406, JUNIOR OFFICER PRACTICUM (STAFF CORPS)
NS410, NETWORK CENTRIC WARFARE
NS421, JO PRACTICUM (SURFACE WARFARE)
NS421A, JO PRACTICUM (EOD)
NS422, JO PRACTICUM (SUBMARINE WARFARE)
NS423, JO PRACTICUM (NAVAL AVIATION)
NS424, JO PRACTICUM (MARINE CORPS)
NS425, JO PRACTICUM (SPECIAL WARFARE)
NS426, JO PRACTICUM (EOD)
NS427, JO PRACTICUM (RESTRICTED LINE & STAFF CORPS)
NS427I, JO PRACTICUM (IDC)
NS427M, JO PRACTICUM (MEDICAL CORPS)
NS427S, JO PRACTICUM (SUPPLY CORPS)
NS431, JO PRACTICUM (SURFACE)
NS432, JO PRACTICUM (SUBMARINES)
NS433, JO PRACTICUM (AVIATION)
NS434, JO PRACTICUM (USMC)
NS435, JO PRACTICUM (SPECWAR)
NS436, JO PRACTICUM (EOD)
NS437I, JO PRACTICUM (IDC)
NS437M, JO PRACTICUM (MEDICAL CORPS)
NS437S, JO PRACTICUM (SUPPLY CORPS)
NS485, ADV TOPICS IN SEAMANSHIP & NAVIGATION
NS486, ADV TOPICS IN SEAMANSHIP & NAVIGATION
PE101, PHYSICAL EDUCATION-BOXING/WRESTLING
PE102, PHYSICAL EDUCATION-SWIMMING
PE111, PHYSICAL EDUCATION-BOXING/WRESTLING
PE201, PHYSICAL EDUCATION-SWIMMING
PE202, PHYSICAL EDUCATION-MARTIAL ARTS I
PE212, PHYSICAL EDUCATION (WOMEN)
PE299S, 3RD CLASS M/PE
PE301, PHYSICAL EDUCATION-SWIMMING & PERS COND/WELLNESS
PE302, PHYSICAL EDUCATION-MARTIAL ARTS II
PE322, KAYAKING
PE323, GYMNASTICS
PE324, TENNIS
PE326, VOLLEYBALL
PE327, GOLF
PE328, SQUASH
PE329, FIRST AID
PE330, WT TRAINING
PE331, RACQUETBALL
PE332, BASKETBALL
PE333, BADMINTON
PE334, WATER POLO
PE335, LACROSSE
PE336, SOFTBALL
PE338, BOXING AEROBICS
PE339, SOCCER
PE340, SWIM CONDITIONING
PE350, INTRODUCTION TO CLIMBING
PE354, ADVENTURE CHALLENGE
PE399F, 2RD CLASS M/PE
PE399S, 2ND CLASS M/PE
PE399T, 2ND CLASS M/PE
PE401, HAND-TO-HAND
PE402, KAYAKING
PE403, GYMNASTICS
PE404, TENNIS
PE405, FITNESS
PE406, VOLLEYBALL
PE407, GOLF
PE408, SQUASH
PE409, FIRST AID
PE410, WEIGHT TRAINING
PE411, RACQUETBALL
PE412, BASKETBALL
PE413, BADMINTON
PE414, WATER POLO
PE415, LACROSSE
PE416, SOFTBALL
PE417, ROWING
PE418, ADVANCED BOXING
PE419, SOCCER
PE420, SWIMMING CONDITIONING
PE421, FITNESS TESTING AND ASSESSMENT
PE422, KAYAKING
PE423, SERVICE ASSIGNMENT TRAINING: SWIM (NAVAL AVIATION)
PE424, SERVICE ASSIGNMENT TRAINING: COMBATIVE (USMC)
PE425, FITNESS
PE426, VOLLEYBALL
PE427, GOLF
PE428, SQUASH
PE429, FIRST AID
PE430, WT TRAINING
PE431, RACQUETBALL
PE432, BASKETBALL
PE433, BADMINTON
PE434, TRIATHLON
PE435, LACROSSE
PE436, SOFTBALL
PE439, SOCCER
PE440, SWIM CONDITIONING
PE450, INTRODUCTION TO CLIMBING
PE452, OUTDOOR ADVENTURE
PE454, ADVENTURE CHALLENGE
PE460, ADVANCED ROCK CLIMBING
PE462, MARTIAL ARTS III
PE463, ADVANCED MARTIAL ARTS
PE480, SERVICE SELECTION TRAINING (SWIM)
PE482, SERVICE SELECTION TRAINING (COMBATIVE)
PE483, PERSONAL CONDITIONING III
PE484, SERVICE SELECTION TRAINING (FITNESS)
PE499F, 1ST CLASS M/PE
PE499S, 1ST CLASS M/PE
PE499T, 1ST CLASS M/PE
PRSM485D, ADVANCED TOPICS IN MATHEMATICS
SA302, ANALYSIS OF NAVAL TACTICS
SA305, LINEAR PROGRAMMING
SA367, INTRODUCTION TO MATHEMATICAL MODELING
SA401, LINEAR MODELS AND OPTIMIZATION
SA402, DYNAMIC & STOCHASTIC MODELS
SA403, GRAPH AND NETWORK ALGORITHMS
SA405, ADVANCED MATH PROGRAMMING
SA410, APPLICATIONS OF SEARCH AND DETECTION THEORY
SA412, PROJECTS IN OPERATIONS ANALYSIS
SA421, SIMULATION MODELING
SA430, LOGISTICS
SA442, APPLIED STATISTICS II
SA475, OPERATIONS RESEARCH CAPSTONE
SA475A, OPERATIONS RESEARCH CAPSTONE
SA475B, OPERATIONS RESEARCH CAPSTONE
SA475C, OPERATIONS RESEARCH CAPSTONE
SA475D, OPERATIONS RESEARCH CAPSTONE
SA475E, RESEARCH SEMINAR IN MATHEMATICS WITH ECONOMICS
SA481, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA485, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA485A, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA485B, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA486, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA486A, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA486B, ADVANCED TOPICS IN OPERATIONS ANALYSIS
SA493R, IND STUDY APPLIED MATHEMATICS
SA495, OPERATIONS ANALYSIS RESEARCH PROJECT
SA496, OPERATIONS ANALYSIS RESEARCH PROJECT
SA589, TRIDENT SCHOLAR PROJECT
SA590, TRIDENT SCHOLAR PROJECT
SA591, TRIDENT SCHOLAR PROJECT
SA592, TRIDENT SCHOLAR PROJECT
SB201, BIOLOGY FOR THE NAVAL OFFICER
SB211, BIOLOGY FOR NAVAL OFCR W LAB
SB251, GENERAL BIOLOGY I
SB252, GENERAL BIOLOGY II
SB338, MOLECULAR & GENERAL GENETICS
SB431, MICROBIAL CHEMISTRY
SB453, NEUROSCIENCE AND DEVELOPMENT
SB482, BIOLOGY RESEARCH PROJECT
SB485, ADVANCED TOPICS IN BIOLOGY
SB486, ADVANCED TOPICS IN BIOLOGY
SB487, ADVANCED TOPICS IN BIOLOGY
SC111, FOUNDATIONS OF CHEMISTRY I
SC111A, FOUNDATIONS OF CHEMISTRY I
SC111N, FOUNDATIONS OF CHEMISTRY I
SC111Y, ELEM OF CHEMISTRY I
SC112, FOUNDATIONS OF CHEM II
SC112E, FOUNDATIONS OF CHEM II
SC112M, FOUNDATIONS OF CHEM II
SC112N, FOUNDATIONS OF CHEM II
SC112R, FOUNDATIONS OF CHEM II
SC112X, FOUNDATIONS OF CHEMISTRY II
SC122, INVESTIGATIONS IN CHEMISTRY II
SC151, MODERN CHEMISTRY
SC201, ORGANIC CHEMISTRY I
SC202, ORGANIC CHEMISTRY II
SC214, ANALYTICAL CHEMISTRY
SC216, ANALYTICAL CHEMISTRY
SC221, CHEMISTRY IN MODERN WARFARE
SC225, ORGANIC CHEMISTRY I
SC226, ORGANIC CHEMISTRY II
SC261, "INTEGRATED LAB I - RXNS,  SEPARATION,  PURIFICATION"
SC262, INTEGRATED LABORATORY II
SC264, "INTEGRATED LAB II - RXNS,  CHEM AND INSTR ANALYSIS"
SC286, TOPICS IN CHEMISTRY
SC287, TOPICS IN CHEMISTRY
SC301, PHYSICAL CHEMISTRY
SC303, PHYSICAL CHEMISTRY I
SC304, PHYSICAL CHEMISTRY II
SC306, INSTRUMENTAL METHODS OF ANALYSIS
SC310, INORGANIC CHEMISTRY
SC311, MARINE AND ATMOSPHERIC CHEM
SC316, PHYSICAL CHEMISTRY LABORATORY I
SC321, QUANTITATIVE ANALYSIS
SC325, ADVANCED ORGANIC CHEMISTRY
SC335, BIOCHEMISTRY
SC336, BIOCHEMISTRY II
SC338, MOLECULAR  & GENERAL GENETICS
SC341, CHEM ENGINEERING PROCESSES
SC345, PHYSICAL CHEMISTRY I
SC346, PHYSICAL CHEMISTRY II
SC351, CHEMICAL STRUCTURE BY X-RAYS
SC356, INORGANIC CHEMISTRY
SC356Y, INORGANIC CHEMISTRY
SC361, INTEGRATED LAB III
