DM201C, MGSP-LEADERS (CHEMISTRY)
SC363, INTEGRATED LAB III - PHYS PRINC AND QUANT ANALYSIS
SC364, INTEGRATED LAB IV - ADVANCED LAB AND SEMINAR
SC403, PHYSICAL CHEMISTRY
SC405, PHYSICAL CHEMISTRY II
SC407, PHYSICAL CHEMISTRY LABORATORY I
SC408, PHYSICAL CHEMISTRY LABORATORY II
SC410, INORGANIC CHEMISTRY II
SC412, ENVIRONMENTAL CHEMISTRY
SC416, ANALYTICAL CHEM IN FORENSICS
SC417, PHYSICAL CHEMISTRY LABORATORY II
SC421, POLYMER CHEMISTRY
SC425, MEDICINAL CHEMISTRY
SC432, BIOCHEMISTRY
SC442, PROPELLANTS AND EXPLOSIVES
SC446, QUANTUM CHEMISTRY
SC451, BIOINORGANIC CHEMISTRY
SC471, CAPSTONE OR RESEARCH PREPARATION
SC472, CHEMISTRY SEMINAR
SC476, CAPSTONE PROJECT
SC476A, CAPSTONE PROJECT
SC476B, CAPSTONE PROJECT
SC481, ADVANCED TOPICS IN CHEMISTRY
SC481A, ADVANCED TOPICS IN CHEMISTRY
SC481C, ADVANCED TOPICS IN CHEMISTRY
SC482, CHEMISTRY SEMINAR
SC482A, ADVANCED TOPICS IN CHEMISTRY
SC482B, ADVANCED TOPICS IN CHEMISTRY
SC482D, ADVANCED TOPICS IN CHEMISTRY
SC483, ADVANCED TOPICS IN CHEMISTRY
SC483A, ADVANCED TOPICS IN CHEMISTRY
SC483B, ADVANCED TOPICS IN CHEMISTRY
SC484A, ADVANCED TOPICS IN CHEMISTRY
SC485, ADVANCED TOPICS IN CHEMISTRY
SC485A, ADVANCED TOPICS IN CHEMISTRY
SC485B, ADVANCED TOPICS IN CHEMISTRY
SC485C, ADVANCED TOPICS IN CHEMISTRY
SC485D, ADVANCED TOPICS IN CHEMISTRY
SC485E, ADVANCED TOPICS IN CHEMISTRY
SC485F, ADVANCED TOPICS IN CHEMISTRY
SC485G, ADVANCED TOPICS IN CHEMISTRY
SC485H, ADVANCED TOPICS IN CHEMISTRY
SC485I, ADVANCED TOPICS IN CHEMISTRY
SC485J, ADVANCED TOPICS IN CHEMISTRY
SC485M, ADVANCED TOPICS IN CHEMISTRY
SC486A, ADVANCED TOPICS IN CHEMISTRY
SC486B, ADVANCED TOPICS IN CHEMISTRY
SC486C, ADVANCED TOPICS IN CHEMISTRY
SC486D, ADVANCED TOPICS IN CHEMISTRY
SC486E, ADVANCED TOPICS IN CHEMISTRY
SC486F, ADVANCED TOPICS IN CHEMISTRY
SC486H, ADVANCED TOPICS IN CHEMISTRY
SC491, CHEMISTRY RESEARCH PROJECT
SC492, CHEMISTRY RESEARCH PROJECT
SC493, CHEMISTRY RESEARCH PROJECT
SC494, CHEMISTRY RESEARCH PROJECT
SC495, CHEMISTRY RESEARCH PROJECT
SC495A, CHEMISTRY RESEARCH PROJECT
SC495B, CHEMISTRY RESEARCH PROJECT
SC495C, CHEMISTRY RESEARCH PROJECT
SC495D, CHEMISTRY RESEARCH PROJECT
SC495E, CHEMISTRY RESEARCH PROJECT
SC495F, CHEMISTRY RESEARCH PROJECT
SC495G, CHEMISTRY RESEARCH PROJECT
SC495H, CHEMISTRY RESEARCH PROJECT
SC495I, CHEMISTRY RESEARCH PROJECT
SC496, CHEMISTRY RESEARCH PROJECT
SC496A, CHEMISTRY RESEARCH PROJECT
SC496B, CHEMISTRY RESEARCH PROJECT
SC496C, CHEMISTRY RESEARCH PROJECT
SC496D, CHEMISTRY RESEARCH PROJECT
SC496E, CHEMISTRY RESEARCH PROJECT
SC496F, CHEMISTRY RESEARCH PROJECT
SC496G, CHEMISTRY RESEARCH PROJECT
SC496H, CHEMISTRY RESEARCH PROJECT
SC498, CHEMISTRY RESEARCH PROJECT
SC498A, CHEMISTRY RESEARCH PROJECT
SC583, TRIDENT SCHOLAR PROJECT
SC584, TRIDENT SCHOLAR PROJECT
SC588, TRIDENT SCHOLAR PROJECT
SC589, TRIDENT SCHOLAR PROJECT
SC590, TRIDENT SCHOLAR PROJECT
SC592, TRIDENT SCHOLAR PROJECT
SE201, PRINCIPLES OF MICROECONOMICS
SE202, PRINCIPLES OF MACROECONOMICS
SE312, MACROECONOMICS
SE331, ECONOMIC STATISTICS
SE341, MICROECONOMICS
SE401, ADVANCED MICROECONOMIC THEORY
SE402, ADVANCED MACROECONOMIC THEORY
SE435, MACROECONOMIC FORECASTING
SE445, ECONOMETRICS
SE450, GAME THEORY
SE475, RESEARCH SEMINAR IN ECONOMICS
SE475A, RESEARCH SEMINAR IN ECONOMICS
SE486A, ADVANCED TOPICS IN QUANTITATIVE ECONOMICS
SE490, PRE-HONORS SEMINAR
SE492, ECONOMICS RESEARCH OR SEMINAR
SE500, HONORS RESEARCH I
SE502, HONORS RESEARCH II
SI100, INTRO TO COMPUTING
SI110, CYBER SECURITY I
SI200, INFORMATION TECH FOR THE JO
SI202, PROBLEM SOLVING AND COMPUTING
SI204, INTRO TO COMPUTER SCIENCE
SI204A, INTRODUCTION TO COMPUTER SCIENCE
SI220, DATA STRUCTURES
SI221, DATA STRUCTURES
SI232, COMPUTER ARCH AND ORG
SI250, INFO SYSTEMS FOR THE JO
SI262, DISCRETE STRUCTURES
SI281, FUNDAMENTALS OF INFORMATION TECHNOLOGY
SI283, PROGRAMMING FOR ENGINEERS
SI285, TOPICS IN COMPUTER SCIENCE
SI286, TOPICS IN COMPUTER SCIENCE
SI286A, TOPICS IN COMPUTER SCIENCE
SI304, PROGRAMMING LANGUAGES
SI305, COMPUTER PROGRAMMING
SI310, COMPUTER GRAPHICS
SI311, ADVANCED PROGRAMMING
SI321, ADVANCED DATA STRUCTURES
SI332, INTRODUCTION TO COMPUTER ARCHITECTURE
SI333, ALGS AND FUNCTIONAL LANGS
SI334, SOFTWARE ENGINEERING
SI335, COMPUTER ALGORITHMS
SI336, SOFTWARE ENGINEERING
SI340, THEORY OF COMPUTING
SI411, OPERATING SYSTEMS
SI412, COMPILER CONSTRUCTION
SI413, PROGRAMMING LANGUAGES
SI420, ARTIFICIAL INTELLIGENCE
SI425, NATURAL LANGUAGE PROCESSING
SI430, FUND OF MICROCOMPUTER SYS
SI433, ADVANCED COMPUTER ALGORITHMS
SI434, SOFTWARE ENGINEERING
SI435, ADV SOFTWARE ENGINEERING
SI440, DATABASE SYSTEMS
SI452, ADV COMPUTER ARCHITECTURE
SI454, COMPUTER NETWORKS
SI455, ADVANCED COMPUTER NETWORKS
SI456, INFORMATION ASSURANCE
SI457, INFORMATION ASSURANCE
SI460, COMPUTER GRAPHICS
SI462, ADVANCED COMPUTER GRAPHICS
SI472, THEORY OF COMPUTING
SI475, INTELLIGENT ROBOTICS
SI481, ADV TOPICS IN COMPUTER SCIENCE
SI481L, ADV TOPICS IN COMPUTER SCIENCE
SI482, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485A, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485B, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485C, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485D, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485E, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485H, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485I, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485J, ADVANCED TOPICS IN COMPUTER SCIENCE
SI485U, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486A, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486B, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486C, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486D, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486E, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486F, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486H, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486I, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486L, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486M, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486U, ADVANCED TOPICS IN COMPUTER SCIENCE
SI486W, ADVANCED TOPICS IN COMPUTER SCIENCE
SI487G, INTRO TO COMP PROG
SI488, ADVANCED TOPICS IN COMPUTER SCIENCE
SI494, COMPUTER SCIENCE RESEARCH PROJECT
SI495, COMPUTER SCIENCE RESEARCH PROJECT
SI495A, INDEPENDENT RESEARCH
SI495B, INDEPENDENT RESEARCH
SI495C, INDEPENDENT RESEARCH
SI496, COMPUTER SCIENCE RESEARCH PROJECT
SI496A, COMPUTER SCIENCE RESEARCH PROJECT
SI496C, COMPUTER SCIENCE INDEPENDENT RESEARCH
SI583, TRIDENT SCHOLAR PROJECT
SI589, TRIDENT SCHOLAR PROJECT
SI590, TRIDENT SCHOLAR PROJECT
SI592, TRIDENT SCHOLAR PROJECT
SM005, PRE-CALCULUS MATHEMATICS
SM121, CALCULUS I
SM121A, CALCULUS I
SM121B, CALCULUS I
SM121C, CALCULUS I
SM121N, CALCULUS I
SM121R, CALCULUS I
SM122, CALCULUS II
SM122A, CALCULUS II
SM122B, CALCULUS II
SM122C, CALCULUS II
SM122D, CALCULUS II
SM122N, CALCULUS II
SM122R, CALCULUS II
SM122S, CALCULUS II
SM122X, MULTIVAR CALCULUS W/ REVIEW
SM131, CALCULUS I
SM161, CALCULUS WITH COMPUTERS I
SM162, CALCULUS WITH COMPUTERS II
SM202, ELEMENTS OF DIFFERENTIAL EQUATIONS
SM212, DIFFERENTIAL EQUATIONS
SM212M, DIFFERENTIAL EQUATIONS
SM212P, DIFFERENTIAL EQUATIONS
SM212S, DIFFERENTIAL EQUATIONS
SM219, INTRODUCTORY STATISTICS
SM221, CALCULUS III WITH VECTOR FIELDS
SM221P, CALCULUS III WITH VECTOR FIELDS
SM221R, CALCULUS III WITH VECTOR FIELDS
SM221S, CALCULUS III WITH VECTOR FIELDS
SM221X, MULTIVARIABLE CALCULUS WITH INFINITE SERIES
SM221Y, CALCULUS III WITH VECTOR FIELDS
SM222, DIFFERENTIAL EQUATIONS WITH MATRICES
SM223, CALCULUS III WITH OPTIMIZATION
SM223B, CALCULUS III WITH OPTIMIZATION
SM223R, TEMP CALC III WITH TI-92
SM230, PROBABILITY WITH NAVAL APPLICATIONS
SM230C, PROBABILITY WITH NAVAL APPLICATIONS
SM233, INTRODUCTION TO APPLIED MATHEMATICS
SM239, PROBABILITY AND STATISTICS I
SM242, DISCRETE MATH & PROBABILITY
SM251, CALCULUS WITH COMPUTERS III
SM259, MATHEMATICAL LOGIC
SM261, MATRIX THEORY
SM279, MULTIVARIABLE CALCULUS
SM280, TOPICS IN MATHEMATICS
SM282, TOPICS IN MATHEMATICS
SM285, TOPICS IN MATHEMATICS
SM285A, TOPICS IN MATHEMATICS
SM286, TOPICS IN MATHEMATICS
SM286A, TOPICS IN MATHEMATICS
SM291, FUNDAMENTALS OF MATHEMATICS
SM311, ENGINEERING MATHEMATICS I
SM311O, ENGINEERING MATHEMATICS I
SM311P, MATHEMATICAL METHODS FOR PHYSICS
SM312, ENGINEERING MATHEMATICS II
SM313, PROBABILITY WITH APPL TO EE
SM314, ENGINEERING MATHEMATICS WITH STATISTICS
SM315, INTRO TO PARTIAL DIFF EQNS
SM316, ENGR MATH WITH PROB & STATS
SM321, TOPICS IN APPL MATHEMATICS
SM331, ADVANCED CALCULUS I
SM331H, REAL ANALYSIS I
SM332, ADVANCED CALCULUS II
SM332H, REAL ANALYSIS II
SM333, "SEQUENCES,  SERIES & FUNCTIONS"
SM334, ELEMENTS OF ADVANCED CALCULUS
SM339, APPLIED STATISTICS I
SM342, DISCRETE STRUCTURES
SM350, TOPICS IN PURE & APPLIED MATH
SM361, INTERMEDIATE LINEAR ALGEBRA
SM362, MODERN ALGEBRA
SM364, INTRO SCIENTIFIC COMPUTING
SM365, INTRO SCIENTIFIC COMPUTING
SM411, INTRO TO COMPLEX VARIABLES
SM415, MATH MODEL OCEAN & ATMOS
SM415H, MATH MODEL OCEAN & ATMOS
SM421, TOPICS IN APPLIED MATHEMATICS II
SM421A, TOPICS IN APPLIED MATHEMATICS II
SM421B, TOPICS IN APPLIED MATHEMATICS II
SM425, ADVANCED NUMERICAL ANALYSIS
SM426, NUMERICAL METHODS FOR DIFF EQ
SM437, EXPERIMENTAL DESIGN
SM439, TOPICS IN STATISTICS
SM439A, TOPICS IN STATISTICS
SM439B, TOPICS IN STATISTICS
SM444, DISCRETE STRUCTURES II
SM444C, DISCRETE STRUCTURES II W/ CAPSTONE PROJECT
SM450, TOPICS IN PURE & APPLIED MATH
SM450A, TOPICS IN PURE&APPLIED MATH2
SM450B, TOPICS IN PURE&APPLIED MATH2
SM461, LINEAR ALGEBRA
SM462, ALGEBRAIC STRUCTURES
SM463, TOPICS IN ANALYT/DISCR MATH
SM463A, TOPICS IN ANALYT/DISCR MATH
SM464, TOPOLOGY
SM465, ADVANCED DIFFERENTIAL EQUATIONS
SM468, "CRYPTO,  CODES & INFO SECURITY"
SM472, PROJECTS IN MATHEMATICS
SM472A, PROJECTS IN MATHEMATICS
SM473, PROJECTS IN MATH & APPLIED MATH
SM473A, PROJECTS IN MATH & APPLIED MATH
SM473B, PROJECTS IN MATH & APPLIED MATH
SM474, PROJECTS IN APPLIED MATHEMATICS
SM474A, PROJECTS IN APPLIED MATHEMATICS
SM474B, PROJECTS IN APPLIED MATHEMATICS
SM481, ADVANCED TOPICS IN MATH
SM481A, ADVANCED TOPICS IN MATHEMATICS
SM481T, ANALYSIS OF EXPERIMENTAL DATA
SM482, ADVANCED TOPICS IN MATHEMATICS
SM482A, ADVANCED TOPICS IN MATHEMATICS
SM483, ADVANCED TOPICS IN MATHEMATICS
SM484, ADVANCED TOPICS IN MATHEMATICS
SM484A, ADVANCED TOPICS IN MATHEMATICS
SM485, ADVANCED TOPICS IN MATHEMATICS
SM485A, ADVANCED TOPICS IN MATHEMATICS
SM485B, ADVANCED TOPICS IN MATHEMATICS
SM485C, ADVANCED TOPICS IN MATHEMATICS
SM485D, ADVANCED TOPICS IN MATHEMATICS
SM485E, ADVANCED TOPICS IN MATHEMATICS
SM485F, ADVANCED TOPICS IN MATHEMATICS
SM485H, ADVANCED TOPICS IN MATHEMATICS
SM485J, ADVANCED TOPICS IN MATHEMATICS
SM485L, ADVANCED TOPICS IN MATHEMATICS
SM485M, ADVANCED TOPICS IN MATHEMATICS
SM485P, ADVANCED TOPICS IN MATHEMATICS
SM485Q, ADVANCED TOPICS IN MATHEMATICS
SM486, ADVANCED TOPICS IN MATHEMATICS
SM486A, ADVANCED TOPICS IN MATHEMATICS
SM486B, ADVANCED TOPICS IN MATHEMATICS
SM486C, ADVANCED TOPICS IN MATHEMATICS
SM486D, ADVANCED TOPICS IN MATHEMATICS
SM486E, ADVANCED TOPICS IN MATHEMATICS
SM486F, ADVANCED TOPICS IN MATHEMATICS
SM486H, ADVANCED TOPICS IN MATHEMATICS
SM486T, ADVANCED TOPICS IN MATHEMATICS
SM491, MATHEMATICS RESEARCH PROJECT
SM491A, MATHEMATICS RESEARCH PROJECT
SM495, MATHEMATICS RESEARCH PROJECT
SM495A, MATHEMATICS RESEARCH PROJECT
SM496, MATHEMATICS RESEARCH PROJECT
SM496A, MATHEMATICS RESEARCH PROJECT
SM496B, MATHEMATICS RESEARCH PROJECT
SM496C, MATHEMATICS RESEARCH PROJECT
SM496D, MATHEMATICS RESEARCH PROJECT
SM496E, MATHEMATICS RESEARCH PROJECT
SM496F, MATHEMATICS RESEARCH PROJECT
SM496R, INDEP STUDY/READINGS COURSE IN MATHEMATICS
SM496S, INDEP STUDY/READINGS COURSE IN MATHEMATICS
SM581, TRIDENT SCHOLAR PROJECT
SM582, TRIDENT SCHOLAR PROJECT
SM584, TRIDENT SCHOLAR PROJECT
SM585, TRIDENT SCHOLAR PROJECT
SM586, TRIDENT SCHOLAR PROJECT
SM587, TRIDENT SCHOLAR PROJECT
SM588, TRIDENT SCHOLAR PROJECT
SM589, TRIDENT SCHOLAR PROJECT
SM591, TRIDENT SCHOLAR PROJECT
SM592, TRIDENT SCHOLAR PROJECT
SO221, INTRODUCTION TO OCEANOGRAPHY
SO231, GENERAL OCEANOGRAPHY I
SO231L, OCEANOGRAPHY LAB
SO232, GEN OCEANOGRAPHY II
SO234, GENERAL OCEANOGRAPHY II
SO244, BASIC ATMOSPHERIC PROCESSES
SO251, PHYSICAL OCEANOGRAPHY
SO254, INTRODUCTION TO METEOROLOGY
SO262, PHYSICAL GEOGRAPHY
SO264, STATISTICS FOR OCEAN AND ATMOSPHERIC SCIENCES
SO271, EARTH SYSTEM SCIENCE I - THE FLUID EARTH
SO272, EARTH SYSTEM SCIENCE II - BIOGEOCHEMICAL CYCLES
SO273, APPLIED EARTH SYSTEM SCIENCE
SO285A, TOPICS IN OCEANOGRAPHY
SO285B, TOPICS IN OCEANOGRAPHY
SO286, TOPICS IN OCEANOGRAPHY
SO286A, TOPICS IN OCEANOGRAPHY
SO286B, TOPICS IN OCEANOGRAPHY
SO287, TOPICS IN OCEANOGRAPHY
SO335, OCEANOGRAPHIC & METEOROLOGICAL QUANTITATIVE METHOD
SO342, INTRODUCTION TO METEOROLOGY
SO344, GEN MET PRIN
SO345, ATMOSPHERIC THERMODYNAMICS
SO345H, HONORS ATMOSPHERIC THERMODYNAMICS
SO351, BIOGEOCHEMICAL OCEANOGRAPHY
SO381, TACTICAL OCEANOGRAPHY
SO382, AVIATION METEOROLOGY
SO414, OCEANIC AND ATMOSPHERIC PROCESSES
SO416, WAVES AND TIDES
SO422, NEARSHORE OCEANOGRAPHY
SO426, POLAR OCEANOGRAPHY
SO427, INTRODUCTION TO ESTUARINE OCEANOGRAPHY
SO431, ENVIRONMENTAL REMOTE SENSING
SO432, GEOGRAPHICAL INFORMATION SYSTEMS
SO441, SYNOPTIC METEOROLOGY
SO442, TROPICAL METEOROLOGY
SO445, GLOBAL CLIMATE CHANGE
SO451, BIOLOGICAL OCEANOGRAPHY
SO461, GEOLOGICAL OCEANOGRAPHY
SO470A, CAPSTONE SEMINAR (BIO)
SO470B, CAPSTONE SEMINAR (GEO)
SO470C, CAPSTONE SEMINAR (MET)
SO470D, CAPSTONE SEMINAR (PHYS)
SO470E, CAPSTONE SEMINAR
SO470F, CAPSTONE SEMINAR (ENV BIO GEO CHEM)
SO471, CHEMICAL OCEANOGRAPHY
SO475, READINGS IN OCEANOGRAPHY AND METEOROLOGY
SO476, READINGS IN OCEANOGRAPHY AND METEOROLOGY
SO480, IT RESEARCH SEMINAR (SO)
SO481, ADVANCED TOPICS IN OCEANOGRAPHY
SO481L, GEN OCEAN LAB
SO481M, TOPICS IN METEOROLOGY (CLIMATOLOGY)
SO482, ADVANCED TOPICS IN OCEANOGRAPHY
SO482A, ADVANCED TOPICS IN OCEANOGRAPHY
SO482B, ADVANCED TOPICS IN OCEANOGRAPHY
SO484, ADVANCED TOPICS IN OCEANOGRAPHY
SO485, ADVANCED TOPICS IN OCEANOGRAPHY
SO485A, ADVANCED TOPICS IN OCEANOGRAPHY
SO485O, ADVANCED TOPICS IN OCEANOGRAPHY
SO486, ADVANCED TOPICS IN OCEANOGRAPHY
SO486A, ADVANCED TOPICS IN OCEANOGRAPHY
SO486B, ADVANCED TOPICS IN OCEANOGRAPHY
SO486C, ADVANCED TOPICS IN OCEANOGRAPHY
SO486D, ADVANCED TOPICS IN OCEANOGRAPHY
SO486E, ADVANCED TOPICS IN OCEANOGRAPHY
SO486F, ADVANCED TOPICS IN OCEANOGRAPHY
SO486G, ADVANCED TOPICS IN OCEANOGRAPHY
SO486H, ADVANCED TOPICS IN OCEANOGRAPHY
SO486J, ADVANCED TOPICS IN OCEANOGRAPHY
SO486K, ADVANCED TOPICS IN OCEANOGRAPHY
SO486M, ADV TOPICS IN METEOROLOGY (CLIMATOLOGY)
SO486X, ADVANCED TOPICS IN OCEANOGRAPHY
SO486Z, ADV TOPICS IN OCEANOGRAPHY
SO491, RESEARCH PROJECT
SO492, OCEANOGRAPHY RESEARCH PR
SO493, RESEARCH PROJECT
SO494, OCEANOGRAPHY RESEARCH PR
SO495, RESEARCH PROJECT
SO496, OCEANOGRAPHY RESEARCH PR
SO496A, INDEPENDENT RESEARCH IN OCEANOGRAPHY
SO503, HONORS RESEARCH METHODS
SO505, HONORS INDEPENDENT RESEARCH
SO506, HONORS INDEPENDENT RESEARCH
SO513, HONORS OCEANIC AND ATMOSPHERIC PROCESSES
SO516, HONORS WAVES AND TIDES
SO589, TRIDENT SCHOLAR PROJECT
SP211, GENERAL PHYSICS I
SP211A, GENERAL PHYSICS I
SP211H, GENERAL PHYSICS I HUMSS
SP211L, GENERAL PHYSICS I
SP211P, GENERAL PHYSICS I
SP211R, GENERAL PHYSICS I
SP211X, GENERAL PHYSICS I
SP212, GENERAL PHYSICS II
SP212E, GENERAL PHYSICS II ENGR
SP212H, GENERAL PHYSICS II HUMSS
SP212R, GENERAL PHYSICS II
SP212X, GENERAL PHYSICS II (EE)
SP221, PHYSICAL MECHANICS I
SP222, ELECTRICITY AND MAGNETISM I
SP226, "HEAT,  SOUND AND LIGHT"
SP285, SPECIAL TOPICS IN PHYSICS
SP286, SPECIAL TOPICS IN PHYSICS
SP301, MODERN PHYSICS
SP310, ASTRONOMY
SP324, APPLIED QUANTUM MECHANICS
SP324A, PHYSICS OF THE ATOM I
SP324L, PHYSICS OF THE ATOM I  - LAB ONLY
SP327, TWENTIETH CENTURY PHYSICS
SP328, FLUID PHYSICS
SP333, PHYSICAL MECHANICS II
SP342, ELECTRICITY AND MAGNETISM II
SP350, THE PHYSICS OF MOTORSPORTS
SP351, PROBLEM SOLVING METHODS I
SP352, PROBLEM SOLVING METHODS II
SP411, UNDERWATER ACOUSTICS AND SONAR
SP425, ADVANCED QUANTUM THEORY
SP434, NUCLEAR PHYSICS
SP436, ACOUSTICS
SP438, OPTICS
SP442, SOLID STATE PHYSICS
SP444, THERMAL PHYSICS
SP445, ASTROPHYSICS I
SP446, ASTROPHYSICS II
SP447, OBSERVATIONAL ASTROPHYSICS
SP481, ADVANCED TOPICS IN PHYSICS
SP481A, ADVANCED TOPICS IN PHYSICS
SP481B, ADVANCED TOPICS IN PHYSICS
SP481C, ADVANCED TOPICS IN PHYSICS
SP481D, ADVANCED TOPICS IN PHYSICS
SP481E, ADVANCED TOPICS IN PHYSICS
SP481L, ADVANCED TOPICS IN PHYSICS
SP482, ADVANCED TOPICS IN PHYSICS
SP482A, ADVANCED TOPICS IN PHYSICS
SP482B, ADVANCED TOPICS IN PHYSICS
SP482C, ADVANCED TOPICS IN PHYSICS
SP482D, ADVANCED TOPICS IN PHYSICS
SP482E, ADVANCED TOPICS IN PHYSICS
SP483, ADVANCED TOPICS IN PHYSICS
SP483A, ADVANCED TOPICS IN PHYSICS
SP483C, ADVANCED TOPICS IN PHYSICS
SP484A, ADVANCED TOPICS IN PHYSICS
SP484C, ADVANCED TOPICS IN PHYSICS
SP485, ADVANCED TOPICS IN PHYSICS
SP485A, ADVANCED TOPICS IN PHYSICS
SP485C, ADVANCED TOPICS IN PHYSICS
SP485D, ADVANCED TOPICS IN PHYSICS
SP486, ADVANCED TOPICS IN PHYSICS
SP486A, ADVANCED TOPICS IN PHYSICS
SP486C, ADVANCED TOPICS IN PHYSICS
SP486X, ADVANCED TOPICS IN PHYSICS
SP487, ADVANCED TOPICS IN PHYSICS
SP491, PHYSICS RESEARCH PROJECT
SP492, PHYSICS RESEARCH PROJECT
SP493, PHYSICS RESEARCH PROJECT
SP494, PHYSICS RESEARCH PROJECT
SP495, PHYSICS RESEARCH PROJECT
SP496, PHYSICS RESEARCH PROJECT
SP498, PHYSICS RESEARCH PROJECT
SP581, TRIDENT SCHOLAR PROJECT
SP582, TRIDENT SCHOLAR PROJECT
SP583, TRIDENT SCHOLAR PROJECT
SP589, TRIDENT SCHOLAR PROJECT
SP590, TRIDENT SCHOLAR PROJECT
SP592, TRIDENT SCHOLAR PROJECT
SY100, FUNDAMENTALS OF SCIENCE
SY110, CYBER SECURITY I
SY201, CYBER FUNDAMENTALS I
SY202, CYBER SYSTEMS ENGINEERING
SY204, SYSTEMS PROGRAMMING & OS FUNDAMENTALS
SY281, TOPICS IN CYBER SCIENCE
SY283A, TOPICS IN CYBER SCIENCE
SY301, DATA STRUCTURES FOR CYBER OPERATIONS
SY303, CYBER SYSTEMS ARCHITECTURE
SY304, "SOCIAL ENGR,  HACKTIVISM,  AND INFO OPS IN CYBER"
SY306, WEB AND DATABASES FOR CYBER OPERATIONS
SY308, SECURITY FUNDAMENTAL PRINCIPLES
SY310, INTRO TO NETWORKING & WIRELESS COMMUNICATIONS
SY401, CYBER OPERATIONS I
SY402, CYBER OPERATIONS II
SY403, CYBER PLANNING & POLICY
SY406, CYBER LAW & ETHICS
SY485B, ADVANCED TOPICS IN CYBER SCIENCE
SY485C, ADVANCED TOPICS IN CYBER SCIENCE
SY485H, ADVANCED TOPICS IN CYBER SCIENCE
SY485J, ADVANCED TOPICS IN CYBER SCIENCE
SY486A, ADVANCED TOPICS IN CYBER SCIENCE
SY486B, ADVANCED TOPICS IN CYBER SCIENCE
SY495, INDEPENDENT RESEARCH IN CYBER SCIENCE
SY496, INDEPENDENT RESEARCH IN CYBER SCIENCE
XS005, EXTRA HELP PRECALCULUS
XS111, EXTRA HELP CHEMISTRY I
XS112, EXTRA HELP CHEMISTRY II
XS121, EXTRA HELP CALCULUS I
XS122, EXTRA HELP CALCULUS II
XS211, EXTRA HELP PHYSICS I
XS212M, EXTRA HELP DIFFERENTIAL EQUATIONS
XS212P, EXTRA HELP PHYSICS II
XS221, EXTRA HELP CALCULUS III VECTORS
XS223, EXTRA HELP CALCULUS III OPTIMIZATION
XS232, EXTRA HELP DYNAMICS
XS300, EXTRA HELP PROPULSION
XS301, EXTRA HELP ELECTRICAL FUNDAMENTALS

